trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
16002519,08:57:00,08:57:00,1595,7,0,0
16002519,08:58:00,08:58:00,1596,8,0,0
16002519,09:00:00,09:00:00,1418,9,0,0
16002520,09:05:00,09:05:00,1418,0,0,0
16002520,09:05:00,09:05:00,1419,1,0,0
16002520,09:08:00,09:08:00,1460,2,0,0
16002520,09:09:00,09:09:00,1586,3,0,0
16002520,09:09:00,09:09:00,1587,4,0,0
16002520,09:11:00,09:11:00,1592,5,0,0
16002520,09:12:00,09:12:00,5551,6,0,0
16002520,09:13:00,09:13:00,5552,7,0,0
16002520,09:15:00,09:15:00,5549,8,0,0
16002521,09:20:00,09:20:00,5549,0,0,0
16002521,09:21:00,09:21:00,5559,1,0,0
16002521,09:22:00,09:22:00,5560,2,0,0
16002521,09:22:00,09:22:00,5561,3,0,0
16002521,09:23:00,09:23:00,1383,4,0,0
16002521,09:25:00,09:25:00,1593,5,0,0
16002521,09:25:00,09:25:00,1382,6,0,0
16002521,09:27:00,09:27:00,1595,7,0,0
16002521,09:28:00,09:28:00,1596,8,0,0
16002521,09:30:00,09:30:00,1418,9,0,0
16002522,09:35:00,09:35:00,1418,0,0,0
16002522,09:35:00,09:35:00,1419,1,0,0
16002522,09:38:00,09:38:00,1460,2,0,0
16002522,09:39:00,09:39:00,1586,3,0,0
16002522,09:39:00,09:39:00,1587,4,0,0
16002522,09:41:00,09:41:00,1592,5,0,0
16002522,09:42:00,09:42:00,5551,6,0,0
16002522,09:43:00,09:43:00,5552,7,0,0
16002522,09:45:00,09:45:00,5549,8,0,0
16002523,10:50:00,10:50:00,5549,0,0,0
16002523,10:51:00,10:51:00,5559,1,0,0
16002523,10:53:00,10:53:00,5560,2,0,0
16002523,10:53:00,10:53:00,5561,3,0,0
16002523,10:55:00,10:55:00,1383,4,0,0
16002523,10:58:00,10:58:00,1593,5,0,0
16002523,10:58:00,10:58:00,1382,6,0,0
16002523,11:01:00,11:01:00,1595,7,0,0
16002523,11:03:00,11:03:00,1596,8,0,0
16002523,11:05:00,11:05:00,1418,9,0,0
16002524,11:05:00,11:05:00,1418,0,0,0
16002524,11:05:00,11:05:00,1419,1,0,0
16002524,11:09:00,11:09:00,1460,2,0,0
16002524,11:11:00,11:11:00,1586,3,0,0
16002524,11:12:00,11:12:00,1587,4,0,0
16002524,11:15:00,11:15:00,1592,5,0,0
16002524,11:16:00,11:16:00,5551,6,0,0
16002524,11:17:00,11:17:00,5552,7,0,0
16002524,11:20:00,11:20:00,5549,8,0,0
16002525,11:20:00,11:20:00,5549,0,0,0
16002525,11:21:00,11:21:00,5559,1,0,0
16002525,11:23:00,11:23:00,5560,2,0,0
16002525,11:23:00,11:23:00,5561,3,0,0
16002525,11:25:00,11:25:00,1383,4,0,0
16002525,11:28:00,11:28:00,1593,5,0,0
16002525,11:28:00,11:28:00,1382,6,0,0
16002525,11:31:00,11:31:00,1595,7,0,0
16002525,11:33:00,11:33:00,1596,8,0,0
16002525,11:35:00,11:35:00,1418,9,0,0
16002526,11:40:00,11:40:00,1418,0,0,0
16002526,11:40:00,11:40:00,1419,1,0,0
16002526,11:46:00,11:46:00,1460,2,0,0
16002526,11:48:00,11:48:00,1586,3,0,0
16002526,11:49:00,11:49:00,1587,4,0,0
16002526,11:53:00,11:53:00,1592,5,0,0
16002526,11:55:00,11:55:00,5551,6,0,0
16002526,11:56:00,11:56:00,5552,7,0,0
16002526,12:00:00,12:00:00,5549,8,0,0
16002527,12:00:00,12:00:00,5549,0,0,0
16002527,12:02:00,12:02:00,5559,1,0,0
16002527,12:04:00,12:04:00,5560,2,0,0
16002527,12:04:00,12:04:00,5561,3,0,0
16002527,12:07:00,12:07:00,1383,4,0,0
16002527,12:10:00,12:10:00,1593,5,0,0
16002527,12:11:00,12:11:00,1382,6,0,0
16002527,12:15:00,12:15:00,1595,7,0,0
16002527,12:17:00,12:17:00,1596,8,0,0
16002527,12:20:00,12:20:00,1418,9,0,0
16002528,12:20:00,12:20:00,1418,0,0,0
16002528,12:20:00,12:20:00,1419,1,0,0
16002528,12:26:00,12:26:00,1460,2,0,0
16002528,12:28:00,12:28:00,1586,3,0,0
16002528,12:29:00,12:29:00,1587,4,0,0
16002528,12:33:00,12:33:00,1592,5,0,0
16002528,12:35:00,12:35:00,5551,6,0,0
16002528,12:36:00,12:36:00,5552,7,0,0
16002528,12:40:00,12:40:00,5549,8,0,0
16002529,12:40:00,12:40:00,5549,0,0,0
16002529,12:42:00,12:42:00,5559,1,0,0
16002529,12:44:00,12:44:00,5560,2,0,0
16002529,12:44:00,12:44:00,5561,3,0,0
16002529,12:47:00,12:47:00,1383,4,0,0
16002529,12:50:00,12:50:00,1593,5,0,0
16002529,12:51:00,12:51:00,1382,6,0,0
16002529,12:55:00,12:55:00,1595,7,0,0
16002529,12:57:00,12:57:00,1596,8,0,0
16002529,13:00:00,13:00:00,1418,9,0,0
16002530,13:00:00,13:00:00,1418,0,0,0
16002530,13:00:00,13:00:00,1419,1,0,0
16002530,13:06:00,13:06:00,1460,2,0,0
16002530,13:08:00,13:08:00,1586,3,0,0
16002530,13:09:00,13:09:00,1587,4,0,0
16002530,13:13:00,13:13:00,1592,5,0,0
16002530,13:15:00,13:15:00,5551,6,0,0
16002530,13:16:00,13:16:00,5552,7,0,0
16002530,13:20:00,13:20:00,5549,8,0,0
16002531,13:20:00,13:20:00,5549,0,0,0
16002531,13:22:00,13:22:00,5559,1,0,0
16002531,13:24:00,13:24:00,5560,2,0,0
16002531,13:24:00,13:24:00,5561,3,0,0
16002531,13:27:00,13:27:00,1383,4,0,0
16002531,13:30:00,13:30:00,1593,5,0,0
16002531,13:31:00,13:31:00,1382,6,0,0
16002531,13:35:00,13:35:00,1595,7,0,0
16002531,13:37:00,13:37:00,1596,8,0,0
16002531,13:40:00,13:40:00,1418,9,0,0
16002532,13:40:00,13:40:00,1418,0,0,0
16002532,13:40:00,13:40:00,1419,1,0,0
16002532,13:44:00,13:44:00,1460,2,0,0
16002532,13:46:00,13:46:00,1586,3,0,0
16002532,13:47:00,13:47:00,1587,4,0,0
16002532,13:50:00,13:50:00,1592,5,0,0
16002532,13:51:00,13:51:00,5551,6,0,0
16002532,13:52:00,13:52:00,5552,7,0,0
16002532,13:55:00,13:55:00,5549,8,0,0
16002533,13:55:00,13:55:00,5549,0,0,0
16002533,13:56:00,13:56:00,5559,1,0,0
16002533,13:58:00,13:58:00,5560,2,0,0
16002533,13:58:00,13:58:00,5561,3,0,0
16002533,14:00:00,14:00:00,1383,4,0,0
16002533,14:03:00,14:03:00,1593,5,0,0
16002533,14:03:00,14:03:00,1382,6,0,0
16002533,14:06:00,14:06:00,1595,7,0,0
16002533,14:08:00,14:08:00,1596,8,0,0
16002533,14:10:00,14:10:00,1418,9,0,0
16002534,14:10:00,14:10:00,1418,0,0,0
16002534,14:10:00,14:10:00,1419,1,0,0
16002534,14:14:00,14:14:00,1460,2,0,0
16002534,14:16:00,14:16:00,1586,3,0,0
16002534,14:17:00,14:17:00,1587,4,0,0
16002534,14:20:00,14:20:00,1592,5,0,0
16002534,14:21:00,14:21:00,5551,6,0,0
16002534,14:22:00,14:22:00,5552,7,0,0
16002534,14:25:00,14:25:00,5549,8,0,0
16002535,14:25:00,14:25:00,5549,0,0,0
16002535,14:26:00,14:26:00,5559,1,0,0
16002535,14:28:00,14:28:00,5560,2,0,0
16002535,14:28:00,14:28:00,5561,3,0,0
16002535,14:30:00,14:30:00,1383,4,0,0
16002535,14:33:00,14:33:00,1593,5,0,0
16002535,14:33:00,14:33:00,1382,6,0,0
16002535,14:36:00,14:36:00,1595,7,0,0
16002535,14:38:00,14:38:00,1596,8,0,0
16002535,14:40:00,14:40:00,1418,9,0,0
16002536,14:40:00,14:40:00,1418,0,0,0
16002536,14:40:00,14:40:00,1419,1,0,0
16002536,14:44:00,14:44:00,1460,2,0,0
16002536,14:46:00,14:46:00,1586,3,0,0
16002536,14:47:00,14:47:00,1587,4,0,0
16002536,14:50:00,14:50:00,1592,5,0,0
16002536,14:51:00,14:51:00,5551,6,0,0
16002536,14:52:00,14:52:00,5552,7,0,0
16002536,14:55:00,14:55:00,5549,8,0,0
16002537,14:55:00,14:55:00,5549,0,0,0
16002537,14:56:00,14:56:00,5559,1,0,0
16002537,14:58:00,14:58:00,5560,2,0,0
16002537,14:58:00,14:58:00,5561,3,0,0
16002537,15:00:00,15:00:00,1383,4,0,0
16002537,15:03:00,15:03:00,1593,5,0,0
16002537,15:03:00,15:03:00,1382,6,0,0
16002537,15:06:00,15:06:00,1595,7,0,0
16002537,15:08:00,15:08:00,1596,8,0,0
16002537,15:10:00,15:10:00,1418,9,0,0
16002538,06:05:00,06:05:00,1297,0,0,0
16002538,06:06:00,06:06:00,7149,1,0,0
16002538,06:07:00,06:07:00,1564,2,0,0
16002538,06:10:00,06:10:00,2004,3,0,0
16002538,06:11:00,06:11:00,2002,4,0,0
16002538,06:15:00,06:15:00,1302,5,0,0
16002538,06:16:00,06:16:00,1976,6,0,0
16002538,06:18:00,06:18:00,1977,7,0,0
16002538,06:19:00,06:19:00,1373,8,0,0
16002538,06:20:00,06:20:00,1374,9,0,0
16002538,06:21:00,06:21:00,1375,10,0,0
16002538,06:22:00,06:22:00,1376,11,0,0
16002538,06:23:00,06:23:00,1377,12,0,0
16002538,06:25:00,06:25:00,1378,13,0,0
16002538,06:26:00,06:26:00,1379,14,0,0
16002538,06:26:00,06:26:00,1380,15,0,0
16002538,06:27:00,06:27:00,1381,16,0,0
16002538,06:28:00,06:28:00,1587,17,0,0
16002538,06:31:00,06:31:00,1592,18,0,0
16002538,06:32:00,06:32:00,5562,19,0,0
16002538,06:35:00,06:35:00,7980,20,0,0
16002539,06:40:00,06:40:00,7980,0,0,0
16002539,06:41:00,06:41:00,5601,1,0,0
16002539,06:42:00,06:42:00,1383,2,0,0
16002539,06:44:00,06:44:00,1593,3,0,0
16002539,06:44:00,06:44:00,1382,4,0,0
16002539,06:45:00,06:45:00,1978,5,0,0
16002539,06:46:00,06:46:00,7089,6,0,0
16002539,06:47:00,06:47:00,1979,7,0,0
16002539,06:49:00,06:49:00,1980,8,0,0
16002539,06:49:00,06:49:00,1981,9,0,0
16002539,06:50:00,06:50:00,1982,10,0,0
16002539,06:52:00,06:52:00,1983,11,0,0
16002539,06:53:00,06:53:00,1984,12,0,0
16002539,06:54:00,06:54:00,1985,13,0,0
16002539,06:56:00,06:56:00,1353,14,0,0
16002539,06:59:00,06:59:00,2001,15,0,0
16002539,07:00:00,07:00:00,2003,16,0,0
16002539,07:03:00,07:03:00,1911,17,0,0
16002539,07:05:00,07:05:00,1297,18,0,0
16002540,07:10:00,07:10:00,1297,0,0,0
16002540,07:11:00,07:11:00,7149,1,0,0
16002540,07:11:00,07:11:00,1564,2,0,0
16002540,07:14:00,07:14:00,2004,3,0,0
16002540,07:15:00,07:15:00,2002,4,0,0
16002540,07:18:00,07:18:00,1302,5,0,0
16002540,07:19:00,07:19:00,1976,6,0,0
16002540,07:20:00,07:20:00,1977,7,0,0
16002540,07:21:00,07:21:00,1373,8,0,0
16002540,07:22:00,07:22:00,1374,9,0,0
16002540,07:23:00,07:23:00,1375,10,0,0
16002540,07:24:00,07:24:00,1376,11,0,0
